"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2018/12/31 00:00:00","EST","LONGIL","61762","25.14","2.09","-6.34","1"
"2018/12/31 01:00:00","EST","LONGIL","61762","22.36","1.97","-3.7","1"
"2018/12/31 02:00:00","EST","LONGIL","61762","21.64","1.93","-3.07","1"
"2018/12/31 03:00:00","EST","LONGIL","61762","21.45","1.93","-2.9","1"
"2018/12/31 04:00:00","EST","LONGIL","61762","21.72","1.85","-3.23","1"
"2018/12/31 05:00:00","EST","LONGIL","61762","23.32","2.09","-4.54","1"
"2018/12/31 06:00:00","EST","LONGIL","61762","28.65","2.38","-8.54","1"
"2018/12/31 07:00:00","EST","LONGIL","61762","30.56","2.69","-8.39","1"
"2018/12/31 08:00:00","EST","LONGIL","61762","32.93","3.12","-7.38","1"
"2018/12/31 09:00:00","EST","LONGIL","61762","35.42","3.44","-6.68","1"
"2018/12/31 10:00:00","EST","LONGIL","61762","41.09","3.4","-12.67","1"
"2018/12/31 11:00:00","EST","LONGIL","61762","40","3.72","-9.53","1"
"2018/12/31 12:00:00","EST","LONGIL","61762","38.3","2.96","-14.48","1"
"2018/12/31 13:00:00","EST","LONGIL","61762","36.65","2.78","-14.14","1"
"2018/12/31 14:00:00","EST","LONGIL","61762","35.4","2.8","-12.87","1"
"2018/12/31 15:00:00","EST","LONGIL","61762","37.97","2.85","-14.94","1"
"2018/12/31 16:00:00","EST","LONGIL","61762","45.53","3.1","-19.94","1"
"2018/12/31 17:00:00","EST","LONGIL","61762","57.57","3.47","-29.5","1"
"2018/12/31 18:00:00","EST","LONGIL","61762","52.74","3.16","-27.8","1"
"2018/12/31 19:00:00","EST","LONGIL","61762","51.9","2.95","-28.31","1"
"2018/12/31 20:00:00","EST","LONGIL","61762","42.59","2.83","-20","1"
"2018/12/31 21:00:00","EST","LONGIL","61762","37.05","2.73","-14.94","1"
"2018/12/31 22:00:00","EST","LONGIL","61762","30.18","2.34","-11.09","1"
"2018/12/31 23:00:00","EST","LONGIL","61762","29.62","2.28","-10.66","1"
"2019/01/01 00:00:00","EST","LONGIL","61762","26.93","1.19","-15.41","1"
"2019/01/01 01:00:00","EST","LONGIL","61762","23.8","1.13","-12.35","1"
"2019/01/01 02:00:00","EST","LONGIL","61762","18.68","1.09","-8.06","1"
"2019/01/01 03:00:00","EST","LONGIL","61762","18.48","1.06","-7.88","1"
"2019/01/01 04:00:00","EST","LONGIL","61762","18.75","1.08","-8.23","1"
"2019/01/01 05:00:00","EST","LONGIL","61762","18.87","1.05","-8.43","1"
"2019/01/01 06:00:00","EST","LONGIL","61762","21.34","1.19","-9.78","1"
"2019/01/01 07:00:00","EST","LONGIL","61762","21.2","1.2","-9.45","1"
"2019/01/01 08:00:00","EST","LONGIL","61762","24.65","1.47","-9.84","1"
"2019/01/01 09:00:00","EST","LONGIL","61762","26.45","2.01","-7.58","1"
"2019/01/01 10:00:00","EST","LONGIL","61762","28.32","2.16","-9.41","1"
"2019/01/01 11:00:00","EST","LONGIL","61762","28.53","2.33","-7.97","1"
"2019/01/01 12:00:00","EST","LONGIL","61762","27.93","2.19","-8.79","1"
"2019/01/01 13:00:00","EST","LONGIL","61762","27.6","2.09","-9.03","1"
"2019/01/01 14:00:00","EST","LONGIL","61762","29","2.16","-10.25","1"
"2019/01/01 15:00:00","EST","LONGIL","61762","29.72","2.29","-10.6","1"
"2019/01/01 16:00:00","EST","LONGIL","61762","38.91","2.79","-16.88","1"
"2019/01/01 17:00:00","EST","LONGIL","61762","47.54","3.57","-20.16","1"
"2019/01/01 18:00:00","EST","LONGIL","61762","49.67","3.79","-20.63","1"
"2019/01/01 19:00:00","EST","LONGIL","61762","42.38","3.78","-12.9","1"
"2019/01/01 20:00:00","EST","LONGIL","61762","38.24","3.58","-10.47","1"
"2019/01/01 21:00:00","EST","LONGIL","61762","35.7","3.28","-10.4","1"
"2019/01/01 22:00:00","EST","LONGIL","61762","29.13","2.3","-9.26","1"
"2019/01/01 23:00:00","EST","LONGIL","61762","26.95","2.28","-6.47","1"
"2019/01/02 00:00:00","EST","LONGIL","61762","25.96","2.71","-1.56","1"
"2019/01/02 01:00:00","EST","LONGIL","61762","23","2.41","-0.11","1"
"2019/01/02 02:00:00","EST","LONGIL","61762","22.13","2.29","-0.1","1"
"2019/01/02 03:00:00","EST","LONGIL","61762","21.71","2.21","-0.1","1"
"2019/01/02 04:00:00","EST","LONGIL","61762","22.22","2.37","-0.25","1"
"2019/01/02 05:00:00","EST","LONGIL","61762","26.92","2.78","-1.87","1"
"2019/01/02 06:00:00","EST","LONGIL","61762","35.66","3.84","-2.23","1"
"2019/01/02 07:00:00","EST","LONGIL","61762","39.61","4.44","-5.14","1"
"2019/01/02 08:00:00","EST","LONGIL","61762","39","4.74","-2.43","1"
"2019/01/02 09:00:00","EST","LONGIL","61762","38.4","4.67","-2.15","1"
"2019/01/02 10:00:00","EST","LONGIL","61762","39.52","4.37","-4.81","1"
"2019/01/02 11:00:00","EST","LONGIL","61762","38.85","4.18","-5.03","1"
"2019/01/02 12:00:00","EST","LONGIL","61762","38.14","4.2","-5.76","1"
"2019/01/02 13:00:00","EST","LONGIL","61762","37.05","3.85","-5.67","1"
"2019/01/02 14:00:00","EST","LONGIL","61762","37.24","3.86","-6.39","1"
"2019/01/02 15:00:00","EST","LONGIL","61762","39.73","4.08","-8.62","1"
"2019/01/02 16:00:00","EST","LONGIL","61762","50.01","5.12","-10.97","1"
"2019/01/02 17:00:00","EST","LONGIL","61762","61.59","6.34","-8.64","1"
