"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2019/03/11 00:00:00","EDT","LONGIL","61762","26.96","2.05","-11.41","1"
"2019/03/11 01:00:00","EDT","LONGIL","61762","24.67","1.78","-10.94","1"
"2019/03/11 02:00:00","EDT","LONGIL","61762","23.26","1.65","-10.02","1"
"2019/03/11 03:00:00","EDT","LONGIL","61762","23.09","1.56","-9.93","1"
"2019/03/11 04:00:00","EDT","LONGIL","61762","23.79","1.6","-10.38","1"
"2019/03/11 05:00:00","EDT","LONGIL","61762","26.41","1.95","-10.83","1"
"2019/03/11 06:00:00","EDT","LONGIL","61762","35.5","2.5","-16.07","1"
"2019/03/11 07:00:00","EDT","LONGIL","61762","38.87","3.57","-12.56","1"
"2019/03/11 08:00:00","EDT","LONGIL","61762","39.74","3.46","-15.7","1"
"2019/03/11 09:00:00","EDT","LONGIL","61762","37.31","3.74","-10.09","1"
"2019/03/11 10:00:00","EDT","LONGIL","61762","41.06","3.68","-14.1","1"
"2019/03/11 11:00:00","EDT","LONGIL","61762","39.14","3.41","-14.01","1"
"2019/03/11 12:00:00","EDT","LONGIL","61762","33.77","3.3","-8.64","1"
"2019/03/11 13:00:00","EDT","LONGIL","61762","32.19","2.83","-10.58","1"
"2019/03/11 14:00:00","EDT","LONGIL","61762","31.52","2.75","-10.03","1"
"2019/03/11 15:00:00","EDT","LONGIL","61762","31.7","2.77","-10.84","1"
"2019/03/11 16:00:00","EDT","LONGIL","61762","33.79","2.91","-12.44","1"
"2019/03/11 17:00:00","EDT","LONGIL","61762","38.29","2.92","-16.64","1"
"2019/03/11 18:00:00","EDT","LONGIL","61762","46.31","3.24","-23.4","1"
"2019/03/11 19:00:00","EDT","LONGIL","61762","54.19","4.13","-25.49","1"
"2019/03/11 20:00:00","EDT","LONGIL","61762","54.45","3.91","-27.29","1"
"2019/03/11 21:00:00","EDT","LONGIL","61762","46.82","3.29","-23.5","1"
"2019/03/11 22:00:00","EDT","LONGIL","61762","32.45","2.94","-10.78","1"
"2019/03/11 23:00:00","EDT","LONGIL","61762","30.14","2.78","-7.63","1"
"2019/03/12 00:00:00","EDT","LONGIL","61762","28.47","2.81","-5.29","1"
"2019/03/12 01:00:00","EDT","LONGIL","61762","26.95","2.76","-3.75","1"
"2019/03/12 02:00:00","EDT","LONGIL","61762","25.85","2.49","-3.12","1"
