"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2019/01/01 00:00:00","EST","LONGIL","61762","26.93","1.19","-15.41","1"
"2019/01/01 01:00:00","EST","LONGIL","61762","23.8","1.13","-12.35","1"
"2019/01/01 02:00:00","EST","LONGIL","61762","18.68","1.09","-8.06","1"
"2019/01/01 03:00:00","EST","LONGIL","61762","18.48","1.06","-7.88","1"
"2019/01/01 04:00:00","EST","LONGIL","61762","18.75","1.08","-8.23","1"
"2019/01/01 05:00:00","EST","LONGIL","61762","18.87","1.05","-8.43","1"
"2019/01/01 06:00:00","EST","LONGIL","61762","21.34","1.19","-9.78","1"
"2019/01/01 07:00:00","EST","LONGIL","61762","21.2","1.2","-9.45","1"
"2019/01/01 08:00:00","EST","LONGIL","61762","24.65","1.47","-9.84","1"
"2019/01/01 09:00:00","EST","LONGIL","61762","26.45","2.01","-7.58","1"
"2019/01/01 10:00:00","EST","LONGIL","61762","28.32","2.16","-9.41","1"
"2019/01/01 11:00:00","EST","LONGIL","61762","28.53","2.33","-7.97","1"
"2019/01/01 12:00:00","EST","LONGIL","61762","27.93","2.19","-8.79","1"
"2019/01/01 13:00:00","EST","LONGIL","61762","27.6","2.09","-9.03","1"
"2019/01/01 14:00:00","EST","LONGIL","61762","29","2.16","-10.25","1"
"2019/01/01 15:00:00","EST","LONGIL","61762","29.72","2.29","-10.6","1"
"2019/01/01 16:00:00","EST","LONGIL","61762","38.91","2.79","-16.88","1"
"2019/01/01 17:00:00","EST","LONGIL","61762","47.54","3.57","-20.16","1"
"2019/01/01 18:00:00","EST","LONGIL","61762","49.67","3.79","-20.63","1"
"2019/01/01 19:00:00","EST","LONGIL","61762","42.38","3.78","-12.9","1"
"2019/01/01 20:00:00","EST","LONGIL","61762","38.24","3.58","-10.47","1"
"2019/01/01 21:00:00","EST","LONGIL","61762","35.7","3.28","-10.4","1"
"2019/01/01 22:00:00","EST","LONGIL","61762","29.13","2.3","-9.26","1"
"2019/01/01 23:00:00","EST","LONGIL","61762","26.95","2.28","-6.47","1"
