"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2018/12/31 00:05:00","LONGIL","61762","31.97","2.77","-5.71","1"
"2018/12/31 00:10:00","LONGIL","61762","30.92","2.78","-4.57","1"
"2018/12/31 00:15:00","LONGIL","61762","29.75","2.78","-3.01","1"
"2018/12/31 00:20:00","LONGIL","61762","29.79","2.43","-6.24","1"
"2018/12/31 00:25:00","LONGIL","61762","28.75","2.43","-5.03","1"
"2018/12/31 00:30:00","LONGIL","61762","28.71","2.42","-4.89","1"
"2018/12/31 00:35:00","LONGIL","61762","24.54","2.53","-0.01","1"
"2018/12/31 00:40:00","LONGIL","61762","22.12","2.3","0","1"
"2018/12/31 00:45:00","LONGIL","61762","22.99","2.28","-1.09","1"
"2018/12/31 00:50:00","LONGIL","61762","23.02","2.37","0","1"
"2018/12/31 00:55:00","LONGIL","61762","22.95","2.23","-1.12","1"
"2018/12/31 01:00:00","LONGIL","61762","26.09","2.57","-1.69","1"
"2018/12/31 01:05:00","LONGIL","61762","27.62","2.27","-6.44","1"
"2018/12/31 01:10:00","LONGIL","61762","23.74","2.39","-1.63","1"
"2018/12/31 01:15:00","LONGIL","61762","22.13","2.35","0","1"
"2018/12/31 01:20:00","LONGIL","61762","22.09","2.33","0","1"
"2018/12/31 01:25:00","LONGIL","61762","22","2.3","0","1"
"2018/12/31 01:30:00","LONGIL","61762","21.97","2.3","0","1"
"2018/12/31 01:35:00","LONGIL","61762","22.07","2.31","0","1"
"2018/12/31 01:40:00","LONGIL","61762","22.29","2.33","0","1"
"2018/12/31 01:45:00","LONGIL","61762","22.27","2.31","0","1"
"2018/12/31 01:50:00","LONGIL","61762","22.25","2.29","0","1"
"2018/12/31 01:55:00","LONGIL","61762","21.93","2.26","0","1"
"2018/12/31 02:00:00","LONGIL","61762","22.16","2.28","0","1"
"2018/12/31 02:05:00","LONGIL","61762","22.29","2.3","0","1"
"2018/12/31 02:10:00","LONGIL","61762","21.99","2.25","0","1"
"2018/12/31 02:15:00","LONGIL","61762","21.91","2.24","0","1"
"2018/12/31 02:20:00","LONGIL","61762","21.94","2.24","0","1"
"2018/12/31 02:25:00","LONGIL","61762","21.99","2.25","0","1"
"2018/12/31 02:30:00","LONGIL","61762","21.92","2.22","0","1"
"2018/12/31 02:35:00","LONGIL","61762","21.99","2.25","0","1"
"2018/12/31 02:40:00","LONGIL","61762","21.88","2.2","0","1"
"2018/12/31 02:45:00","LONGIL","61762","21.9","2.21","0","1"
"2018/12/31 02:50:00","LONGIL","61762","21.87","2.2","0","1"
"2018/12/31 02:55:00","LONGIL","61762","18.12","1.8","0","1"
"2018/12/31 03:00:00","LONGIL","61762","21.94","2.16","0","1"
"2018/12/31 03:05:00","LONGIL","61762","22.19","2.13","0","1"
"2018/12/31 03:10:00","LONGIL","61762","22.17","2.11","0","1"
"2018/12/31 03:15:00","LONGIL","61762","22.19","2.13","0","1"
"2018/12/31 03:20:00","LONGIL","61762","22.19","2.15","0","1"
"2018/12/31 03:25:00","LONGIL","61762","22.23","2.17","0","1"
"2018/12/31 03:30:00","LONGIL","61762","22.21","2.17","0","1"
"2018/12/31 03:35:00","LONGIL","61762","22.23","2.17","0","1"
"2018/12/31 03:40:00","LONGIL","61762","22.23","2.17","0","1"
"2018/12/31 03:45:00","LONGIL","61762","22.24","2.15","0","1"
"2018/12/31 03:50:00","LONGIL","61762","22.23","2.17","0","1"
"2018/12/31 03:55:00","LONGIL","61762","22.23","2.17","0","1"
"2018/12/31 04:00:00","LONGIL","61762","22.23","2.19","0","1"
"2018/12/31 04:05:00","LONGIL","61762","22.27","2.23","0","1"
"2018/12/31 04:10:00","LONGIL","61762","22.29","2.23","0","1"
"2018/12/31 04:15:00","LONGIL","61762","22.29","2.24","0","1"
"2018/12/31 04:20:00","LONGIL","61762","24.42","2.46","0","1"
"2018/12/31 04:25:00","LONGIL","61762","24.39","2.46","0","1"
"2018/12/31 04:30:00","LONGIL","61762","23.07","2.32","0","1"
"2018/12/31 04:35:00","LONGIL","61762","21.92","2.21","0","1"
"2018/12/31 04:40:00","LONGIL","61762","24.47","2.48","0","1"
"2018/12/31 04:45:00","LONGIL","61762","24.4","2.46","0","1"
"2018/12/31 04:50:00","LONGIL","61762","24.44","2.48","0","1"
"2018/12/31 04:55:00","LONGIL","61762","26.05","2.44","-1.86","1"
"2018/12/31 05:00:00","LONGIL","61762","24.35","2.39","0","1"
"2018/12/31 05:05:00","LONGIL","61762","21.67","2.04","0","1"
"2018/12/31 05:10:00","LONGIL","61762","27.48","1.95","-6.95","1"
"2018/12/31 05:15:00","LONGIL","61762","24.22","2.4","0","1"
"2018/12/31 05:20:00","LONGIL","61762","30.94","1.51","-15.49","1"
"2018/12/31 05:25:00","LONGIL","61762","29.62","1.93","-9.67","1"
"2018/12/31 05:30:00","LONGIL","61762","28.67","2.24","-5.49","1"
"2018/12/31 05:35:00","LONGIL","61762","29.56","2.25","-6.49","1"
"2018/12/31 05:40:00","LONGIL","61762","32.03","1.92","-12.36","1"
"2018/12/31 05:45:00","LONGIL","61762","31.6","2.25","-8.86","1"
"2018/12/31 05:50:00","LONGIL","61762","32.09","2.27","-9.38","1"
"2018/12/31 05:55:00","LONGIL","61762","32.21","2.26","-9.59","1"
"2018/12/31 06:00:00","LONGIL","61762","30.81","-0.61","-36.62","1"
"2018/12/31 06:05:00","LONGIL","61762","31.51","1.69","-16.18","1"
"2018/12/31 06:10:00","LONGIL","61762","32.07","1.67","-16.86","1"
"2018/12/31 06:15:00","LONGIL","61762","32.3","0.82","-24.65","1"
"2018/12/31 06:20:00","LONGIL","61762","32.7","1.58","-17.73","1"
"2018/12/31 06:25:00","LONGIL","61762","32.71","1.61","-17.68","1"
"2018/12/31 06:30:00","LONGIL","61762","31.64","2.18","-11.71","1"
"2018/12/31 06:35:00","LONGIL","61762","31.76","2.17","-11.92","1"
"2018/12/31 06:40:00","LONGIL","61762","32.06","1.84","-15.41","1"
"2018/12/31 06:45:00","LONGIL","61762","28.8","2.33","-8.24","1"
"2018/12/31 06:50:00","LONGIL","61762","27.91","3.13","-0.88","1"
"2018/12/31 06:55:00","LONGIL","61762","27.96","3.24","0","1"
"2018/12/31 07:00:00","LONGIL","61762","26.06","3.12","0","1"
"2018/12/31 07:05:00","LONGIL","61762","27.05","3.3","0","1"
"2018/12/31 07:10:00","LONGIL","61762","31.21","3.76","0","1"
"2018/12/31 07:15:00","LONGIL","61762","31.5","1.88","-15.9","1"
"2018/12/31 07:20:00","LONGIL","61762","31.22","0.95","-23.16","1"
"2018/12/31 07:25:00","LONGIL","61762","31.58","2.55","-10.11","1"
"2018/12/31 07:30:00","LONGIL","61762","31.59","2.42","-11.37","1"
"2018/12/31 07:35:00","LONGIL","61762","31.6","2.4","-11.4","1"
"2018/12/31 07:40:00","LONGIL","61762","31.67","2.46","-11.02","1"
"2018/12/31 07:45:00","LONGIL","61762","31.55","2.53","-10.56","1"
"2018/12/31 07:50:00","LONGIL","61762","30.97","2.86","-7.51","1"
"2018/12/31 07:55:00","LONGIL","61762","30.77","2.85","-7.31","1"
"2018/12/31 08:00:00","LONGIL","61762","28.66","2.48","-7.97","1"
"2018/12/31 08:05:00","LONGIL","61762","28.84","2.5","-8.11","1"
"2018/12/31 08:10:00","LONGIL","61762","30.71","2.45","-10.23","1"
"2018/12/31 08:15:00","LONGIL","61762","37.82","2.51","-17.12","1"
"2018/12/31 08:20:00","LONGIL","61762","37.88","2.46","-17.72","1"
"2018/12/31 08:25:00","LONGIL","61762","37.86","2.48","-17.67","1"
"2018/12/31 08:30:00","LONGIL","61762","31.74","2.44","-11.63","1"
"2018/12/31 08:35:00","LONGIL","61762","31.78","2.82","-8.64","1"
"2018/12/31 08:40:00","LONGIL","61762","35.3","2.83","-12.12","1"
"2018/12/31 08:45:00","LONGIL","61762","31.68","2.81","-8.54","1"
"2018/12/31 08:50:00","LONGIL","61762","31.76","2.79","-8.63","1"
"2018/12/31 08:55:00","LONGIL","61762","31.79","3.17","-5.47","1"
"2018/12/31 09:00:00","LONGIL","61762","30.87","1.8","-15.67","1"
"2018/12/31 09:05:00","LONGIL","61762","28.85","2.39","-8.64","1"
"2018/12/31 09:10:00","LONGIL","61762","29.35","2.3","-10.17","1"
"2018/12/31 09:15:00","LONGIL","61762","29.53","2.4","-9.36","1"
"2018/12/31 09:20:00","LONGIL","61762","29.53","2.38","-9.38","1"
"2018/12/31 09:25:00","LONGIL","61762","29.41","2.38","-9.27","1"
"2018/12/31 09:30:00","LONGIL","61762","29.41","2.38","-9.27","1"
"2018/12/31 09:35:00","LONGIL","61762","30.04","2.38","-10.05","1"
"2018/12/31 09:40:00","LONGIL","61762","29.95","2.47","-9.16","1"
"2018/12/31 09:45:00","LONGIL","61762","29.59","2.55","-8.32","1"
"2018/12/31 09:50:00","LONGIL","61762","29.95","2.47","-9.14","1"
"2018/12/31 09:55:00","LONGIL","61762","29.71","2.93","-5.24","1"
"2018/12/31 10:00:00","LONGIL","61762","29.44","2.46","-8.61","1"
"2018/12/31 10:05:00","LONGIL","61762","28.93","2.51","-7.66","1"
"2018/12/31 10:10:00","LONGIL","61762","28.91","2.51","-7.63","1"
"2018/12/31 10:15:00","LONGIL","61762","30.25","1.78","-14.92","1"
"2018/12/31 10:20:00","LONGIL","61762","29.27","3.29","-1.42","1"
"2018/12/31 10:25:00","LONGIL","61762","29.39","2.49","-8.15","1"
"2018/12/31 10:30:00","LONGIL","61762","28.58","3.38","0","1"
"2018/12/31 10:35:00","LONGIL","61762","28.23","3.36","0","1"
"2018/12/31 10:40:00","LONGIL","61762","28.58","3.38","0","1"
"2018/12/31 10:45:00","LONGIL","61762","28.58","3.38","0","1"
